CIF_id,Compound,lowest_wyckoff_elements,Mendeleev_number_of_elements_with_lowest_wyckoff,valence_e_of_elements_with_lowest_wyckoff,CIF_rad_of_elements_with_lowest_wyckoff,CIF_rad_refined_of_elements_with_lowest_wyckoff,Pauling_rad_of_elements_with_lowest_wyckoff,Pauling_EN_of_elements_with_lowest_wyckoff,MB_EN_of_elements_with_lowest_wyckoff,highest_Mendeleev_number_sites,lowest_Mendeleev_number_sites,highest_Mendeleev_number_multiplicity,lowest_Mendeleev_number_multiplicity,highest_valence_e_sites,lowest_valence_e_sites,highest_valence_e_multiplicity,lowest_valence_e_multiplicity,highest_CIF_rad_sites,lowest_CIF_rad_sites,highest_CIF_rad_multiplicity,lowest_CIF_rad_multiplicity,highest_CIF_rad_refined_sites,lowest_CIF_rad_refined_sites,highest_CIF_rad_refined_multiplicity,lowest_CIF_rad_refined_multiplicity,highest_Pauling_rad_sites,lowest_Pauling_rad_sites,highest_Pauling_rad_multiplicity,lowest_Pauling_rad_multiplicity,highest_Pauling_EN_sites,lowest_Pauling_EN_sites,highest_Pauling_EN_multiplicity,lowest_Pauling_EN_multiplicity,highest_MB_EN_sites,lowest_MB_EN_sites,highest_MB_EN_multiplicity,lowest_MB_EN_multiplicity
250404,NdAl3,Nd,19,6,1.813,1.4828,1.818,1.14,1.2,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250410,GdAl3,Gd,27,10,1.787,1.4663,1.795,1.2,1.1,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250411,Nd3Al,Al,74,13,1.243,1.6849,1.408,1.81,1.7,1,1,2,6,1,1,2,6,1,1,6,2,1,1,2,6,1,1,6,2,1,1,2,6,1,1,2,6
250460,GdFe3,"Gd, Fe","27, 55","10, 8","1.787, 1.242","1.6962, 1.2659","1.795, 1.26","1.2, 1.83","1.1, 1.67",3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250461,GdCo3,"Gd, Co","27, 58","10, 9","1.787, 1.25","1.6518, 1.2488","1.795, 1.252","1.2, 1.88","1.1, 1.72",3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250462,GdNi3,"Gd, Ni","27, 61","10, 10","1.787, 1.246","1.635, 1.2412","1.795, 1.244","1.2, 1.91","1.1, 1.76",3,2,27,9,3,3,27,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250463,YFe3,"Y, Fe","12, 55","3, 8","1.783, 1.242","1.6842, 1.2582","1.797, 1.26","1.22, 1.83","1.41, 1.67",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250464,YCo3,"Y, Co","12, 58","3, 9","1.783, 1.25","1.6433, 1.2404","1.797, 1.252","1.22, 1.88","1.41, 1.72",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250465,YNi3,"Y, Ni","12, 61","3, 10","1.783, 1.246","1.6306, 1.2407","1.797, 1.244","1.22, 1.91","1.41, 1.76",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250468,SmIn3,Sm,23,8,1.793,1.6355,1.85,1.17,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250469,YbIn3,Yb,39,16,1.939,1.6316,1.933,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250502,YAl3,Y,12,3,1.783,1.664,1.797,1.22,1.41,2,2,27,9,2,2,27,9,2,2,9,27,2,2,9,27,2,2,9,27,2,2,27,9,2,2,27,9
250503,GdAl3,Gd,27,10,1.787,1.4663,1.795,1.2,1.1,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250504,NdAl3,Nd,19,6,1.813,1.4828,1.818,1.14,1.2,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250505,PrAl3,Pr,17,5,1.82,1.4853,1.824,1.13,1.1,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250506,CeAl3,Ce,15,4,1.819,1.49,1.818,1.12,1.1,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250507,LaAl3,La,13,3,1.871,1.5008,1.871,1.1,1.35,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
