CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250806,Nd0.75Pt2.25,Pt1,18,6,12,63.3968,0.0,30,20,2.2,2.3334,44.602,0.7035
250806,Nd0.75Pt2.25,Pt2,14,1,13,63.3968,0.2538,33,22,1.8786,1.65,27.771,0.5238
250807,Eu0.75Pt2.25,Eu1,15,2,13,76.7429,0.2758,36,24,1.9035,1.6719,28.8899,0.5238
250807,Eu0.75Pt2.25,Pt1,18,6,12,65.9509,0.0,30,20,2.2291,2.3644,46.3982,0.7035
250807,Eu0.75Pt2.25,Pt2,15,2,13,76.7429,0.2758,36,24,1.9035,1.6719,28.8899,0.5238
250808,Gd0.75Pt2.25,Gd1,18,3,15,92.8912,0.0,42,28,2.6789,2.8016,80.5273,0.8669
250808,Gd0.75Pt2.25,Pt1,18,6,12,62.3051,0.0,30,20,2.1873,2.32,43.8333,0.7035
250808,Gd0.75Pt2.25,Pt2,18,3,15,92.8912,0.0,42,28,2.6789,2.8016,80.5273,0.8669
250809,DyPt3,Dy1,18,6,12,90.0447,0.0,30,20,2.3511,2.8796,54.4404,0.7359
250809,DyPt3,Pt1,12,4,8,56.2779,0.0,30,20,2.1463,2.0362,41.4145,0.7359
250810,TbPt3,Pt1,12,4,8,56.6977,0.0,30,20,2.1516,2.0412,41.7234,0.7359
250810,TbPt3,Tb1,18,6,12,90.7163,0.0,30,20,2.357,2.8867,54.8465,0.7359
250811,Ce0.75Pt2.25,Ce1,14,1,13,64.5012,0.2553,33,22,1.8894,1.6595,28.2548,0.5238
250811,Ce0.75Pt2.25,Pt1,18,6,12,64.5012,0.0,30,20,2.2127,2.3469,45.379,0.7035
250811,Ce0.75Pt2.25,Pt2,15,2,13,75.056,0.2738,36,24,1.8894,1.6595,28.2548,0.5238
250891,LaPd3,La1,18,6,12,101.2097,0.0,30,20,2.4446,2.994,61.1907,0.7359
250891,LaPd3,Pd1,12,4,8,63.256,0.0,30,20,2.2316,2.117,46.5497,0.7359
250892,CePd3,Ce1,18,6,12,93.7766,0.0,30,20,2.3832,2.9188,56.6967,0.7359
250892,CePd3,Pd1,12,4,8,58.6104,0.0,30,20,2.1755,2.0639,43.131,0.7359
250893,PrPd3,Pd1,12,4,8,59.1873,0.0,30,20,2.1827,2.0706,43.5555,0.7359
250893,PrPd3,Pr1,18,6,12,94.6998,0.0,30,20,2.391,2.9283,57.2548,0.7359
250894,YPd3,Pd1,12,4,8,56.1909,0.0,30,20,2.1452,2.0351,41.3505,0.7359
250894,YPd3,Y1,18,6,12,89.9054,0.0,30,20,2.3499,2.8781,54.3562,0.7359
250907,Ce0.25Tb0.75,Ce1,14,8,6,62.0022,0.0,18,12,1.5439,1.0474,15.4156,0.4696
250907,Ce0.25Tb0.75,Tb1,14,8,6,62.0022,0.0,18,12,1.5439,1.0474,15.4156,0.4696
250910,Pr0.25Tb0.75,Pr1,12,6,6,32.7923,0.0,12,8,1.5434,1.0472,15.3991,0.4696
250910,Pr0.25Tb0.75,Tb1,12,6,6,32.7923,0.0,12,8,1.5434,1.0472,15.3991,0.4696
250920,HoFe3,Fe1,12,5,7,52.6317,0.0445,30,20,2.0687,2.0269,37.0835,0.7046
250920,HoFe3,Fe2,12,3,9,49.1515,0.0082,30,20,1.9909,2.1497,33.0552,0.6725
250920,HoFe3,Fe3,12,6,6,53.1514,0.0001,30,20,2.0479,2.1757,35.9778,0.6769
250920,HoFe3,Ho1,16,4,12,81.6446,0.0949,42,28,2.5059,2.6245,65.9126,0.8073
250920,HoFe3,Ho2,6,0,6,0.1934,0.0001,12,8,0.0064,1.4676,0.0,0.0
250931,YbPd3,Pd1,12,4,8,55.0719,0.0,30,20,2.1308,2.0215,40.527,0.7359
250931,YbPd3,Yb1,18,6,12,88.115,0.0,30,20,2.3342,2.8588,53.2737,0.7359
250934,Pd3Sn,Pd1,12,8,4,52.4582,0.0,30,20,2.0966,1.989,38.6036,0.7359
250934,Pd3Sn,Sn1,18,12,6,83.9331,0.0,30,20,2.2967,2.8129,50.7454,0.7359
250959,Pd0.75In0.25,In1,17,8,9,36.6925,0.32,21,14,1.6442,1.44,18.6187,0.592
250959,Pd0.75In0.25,Pd1,17,8,9,36.6925,0.32,21,14,1.6442,1.44,18.6187,0.592
250962,Pt3Sn,Pt1,12,8,4,53.3533,0.0,30,20,2.1084,2.0002,39.2624,0.7359
250962,Pt3Sn,Sn1,18,12,6,85.3653,0.0,30,20,2.3097,2.8288,51.6113,0.7359
250963,Pt3In,In1,18,12,6,84.8224,0.0,30,20,2.3048,2.8228,51.283,0.7359
250963,Pt3In,Pt1,12,8,4,53.014,0.0,30,20,2.104,1.996,39.0126,0.7359
250966,Pd3.25In9.75,In1,16,3,13,77.4062,0.1219,39,26,2.2462,2.3209,47.4746,0.6133
250966,Pd3.25In9.75,In2,15,4,11,62.1813,0.1415,33,22,2.212,2.2529,45.3385,0.7291
250966,Pd3.25In9.75,In3,15,6,9,50.7795,0.214,30,20,1.9046,2.1436,28.9401,0.5699
250966,Pd3.25In9.75,Pd1,15,6,9,50.7795,0.214,30,20,1.9046,2.1436,28.9397,0.5699
250966,Pd3.25In9.75,Pd2,15,3,12,51.5704,0.2032,30,20,1.8518,2.0968,26.598,0.5158
250977,ErNi3,Er1,16,4,12,76.4911,0.0941,42,28,2.4378,2.5664,60.6825,0.7933
250977,ErNi3,Er2,6,0,6,0.1812,0.0001,12,8,0.0063,1.4263,0.0,0.0
250977,ErNi3,Ni1,12,5,7,49.31,0.0441,30,20,2.015,2.0105,34.2685,0.695
250977,ErNi3,Ni2,12,3,9,46.0494,0.0079,30,20,1.9534,2.1276,31.2198,0.678
250977,ErNi3,Ni3,12,6,6,49.7968,0.0001,30,20,2.0314,2.1532,35.1108,0.7051
