CIF_id,Compound,Shortest homoatomic distance,Shortest heteroatomic distance,Shortest homoatomic distance by 2 by atom size,Shortest heteroatomic distance by sum of atom sizes,Shortest homoatomic distance by 2 by refined atom size,Shortest heteroatomic distance by sum of refined sizes,Highest refined percent difference by 100 (abs value),Lowest refined percent difference by 100 (abs value),Packing efficiency
250807,Eu0.75Pt2.25,2.7301,3.2014,0.9842,0.9488,1.0,1.0,0.0758,0.0158,1.00598
250808,Gd0.75Pt2.25,2.6789,3.1412,0.9657,0.9897,1.0,1.0,0.0343,0.0083,1.00598
250809,DyPt3,2.8796,2.8796,1.038,0.9174,1.0,1.0,0.1782,0.038,0.74048
250810,TbPt3,2.8867,2.8867,1.0406,0.9161,1.0,1.0,0.1818,0.0406,0.74048
250811,Ce0.75Pt2.25,2.71,3.1777,0.9769,0.9912,1.0,1.0,0.0231,0.0021,1.00598
250891,LaPd3,2.994,2.994,1.0879,0.9221,1.0,1.0,0.1999,0.0879,0.74048
250892,CePd3,2.9188,2.9188,1.0606,0.9136,1.0,1.0,0.1977,0.0606,0.74048
250893,PrPd3,2.9283,2.9283,1.0641,0.9162,1.0,1.0,0.1955,0.0641,0.74048
250894,YPd3,2.8781,2.8781,1.0458,0.9111,1.0,1.0,0.1929,0.0458,0.74048
250907,Ce0.25Tb0.75,3.5604,3.5604,0.9787,0.9937,1.0,1.0,0.0213,0.0092,1.43983
250910,Pr0.25Tb0.75,3.5586,3.5586,0.9776,0.9929,1.0,1.0,0.0223,0.0087,1.43915
250920,HoFe3,2.4981,2.9168,1.0057,0.9765,1.0,1.0,0.0443,0.0057,0.72220
250931,YbPd3,2.8588,2.8588,1.0388,0.8624,1.0,1.0,0.2628,0.0388,0.74048
250934,Pd3Sn,2.8129,2.8129,1.0221,0.9743,1.0,1.0,0.0692,0.0221,0.74048
250959,Pd0.75In0.25,2.7824,2.7824,1.011,0.9275,1.0,1.0,0.1434,0.011,1.43441
250962,Pt3Sn,2.8288,2.8288,1.0198,0.9761,1.0,1.0,0.0639,0.0198,0.74048
250963,Pt3In,2.8228,2.8228,1.0176,0.9375,1.0,1.0,0.1309,0.0176,0.74048
250966,Pd3.25In9.75,2.6893,2.6893,0.9772,0.8964,1.0,1.0,0.172,0.0228,0.72791
250977,ErNi3,2.4607,2.8489,0.9874,0.956,1.0,1.0,0.0666,0.0126,0.72254
